"ID";"Bezeichner";"Footprint";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"U2";"PAN_ALD_PAN";1;"ALDP112";;;
2;"U5";"H11L1_ISO";1;"H11L1";;;
3;"R6,R5";"R_2010_5025Metric_Pad1.40x2.65mm_HandSolder";2;"47k";;;
4;"F1";"FUS_SCHURTER_0034_SCH";1;"0034.6808";;;
5;"D1";"Diode_Bridge_Round_D9.8mm";1;"W04G";;;
6;"R1,R28";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"10K";;;
7;"H1";"7178DG";1;"7178DG";;;
8;"U7";"PDIP6_BX_ONS";1;"MOC3021M";;;
9;"FA1";"1606502";1;"230 Live";;;
10;"FA11";"1606502";1;"Pump Relay";;;
11;"U3,U4";"SC-90_SOD323F_NEX";2;"BAT46WJ_115";;;
12;"R11";"R_2010_5025Metric_Pad1.40x2.65mm_HandSolder";1;"39";;;
13;"K1";"Relay_SPDT_Schrack-RT1-16A-FormC_RM5mm";1;"RT314A12";;;
14;"R7";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"1k";;;
15;"Q1,Q2";"SOT-23";2;"BSS138";;;
16;"F4";"FUS1206_24N_SCH";1;"3413.0215.22";;;
17;"R8";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"86.6";;;
18;"FA4";"1606502";1;"230 Neutral";;;
19;"Q3";"TO255P460X1020X2005-3P";1;"BTA16-600BWRG";;;
20;"C2";"CAP_F339MX231031MDA2B0_VIS";1;"F339MX231031MDA2B0";;;
21;"FA10";"1606502";1;"PumpOut";;;
22;"C3";"CP_Radial_D6.3mm_P2.50mm";1;"100uF";;;
23;"R9";"R_2010_5025Metric_Pad1.40x2.65mm_HandSolder";1;"330";;;
24;"FA7";"1606502";1;"Coffee Relay";;;
25;"U1";"RELAY4_ECE10_XPR";1;"ECE10US12";;;
26;"F2";"0697_BEL";1;"0697H9100-02";;;
27;"J6";"PinHeader_1x06_P2.00mm_Vertical";1;"Controller board";;;
